Brand_name,NO.Phone_Made,Min_Price,Max_price,Average_price
2E,13,273,2167,1129.692308
AGM,9,1484,15048,6109.222222
ALCATEL,12,654,3877,1915.583333
Apple,97,2445,49242,21395.82474
Archos,6,840,2775,1895.166667
Assistant,3,294,1599,763.6666667
Astro,7,214,655,450.1428571
ASUS,9,3145,28384,18125.44444
BlackBerry,1,5674,5674,5674
Blackview,36,992,12667,5202.027778
Bluboo,2,1979,3032,2505.5
Bravis,2,2199,2599,2399
CAT,7,1488,25649,12352.57143
Coolpad,1,3968,3968,3968
Crosscall,2,2950,3460,3205
Cubot,10,2500,5671,3694.8
DOOGEE,33,1844,9430,4315.272727
Elephone,2,5095,6615,5855
ERGO,13,272,1715,546.9230769
Fly,5,314,557,487.4
General,1,2724,2724,2724
Globex,1,652,652,652
Google,17,4729,25548,12865.17647
Honor,24,2499,10865,5046.375
HTC,3,5649,19649,10399
HUAWEI,41,2598,56082,9927.268293
iOutdoor,1,1048,1048,1048
Jinga,1,249,249,249
KENEKSI,1,610,610,610
Land,1,1382,1382,1382
LEAGOO,1,2684,2684,2684
Lenovo,8,3245,5249,4036.25
LG,23,2749,17790,6639.217391
MAFAM,1,899,899,899
Maxcom,9,335,921,627.5555556
Meizu,22,1899,7776,4433.227273
Microsoft,1,44232,44232,44232
Motorola,53,2243,22760,6070.660377
myPhone,1,5600,5600,5600
Nokia,43,474,19041,3133.906977
Nomi,24,220,1071,530.4583333
NUU,1,1599,1599,1599
OnePlus,17,5856,23999,13758.47059
OPPO,21,3266,32530,9530.428571
Oukitel,18,2104,9981,4610.555556
Philips,11,480,2872,1319.272727
Prestigio,1,460,460,460
realme,26,2899,14785,6388.653846
Rezone,5,252,632,388.6
Samsung,149,2344,55338,15543.61074
Sharp,1,7827,7827,7827
Sigma mobile,46,311,9348,2295.913043
Smartex,2,1699,1699,1699
Sony,17,2070,34165,14584.76471
S-TELL,5,299,1799,939.4
Tecno,21,294,4299,2514.333333
Ulefone,26,805,15611,4593.5
UMIDIGI,4,2479,4994,3667
Vernee,4,1949,2865,2605.75
Viaan,3,249,400,325
vivo,16,3080,24519,8063.375
Vodafone,1,2142,2142,2142
Xiaomi,105,2358,27999,6192.914286
ZTE,21,1529,18755,3566.47619
,,,,
Total,1068,171695,730234,340394.3525
